stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b1_docs_chunking,docs_cs1200_ov80,docs_cs1200_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs1200_ov80/run_03,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs1200_ov80.yaml,docs_only,1c5afc595e49b677ddf02f319de4374397546fab360a6516f43f7400da3018e9,70,1051.008464,0.019048,28,0.535619,0.314478,0.303885
stage0b1_docs_chunking,docs_cs400_ov0,docs_cs400_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs400_ov0/run_03,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs400_ov0.yaml,docs_only,2111838e36d98308c34463608657acf43253ace3061225bfa444ab40e2010b46,70,1245.402383,0.014286,28,0.514380,0.303623,0.341967
stage0b1_docs_chunking,docs_cs1200_ov80,docs_cs1200_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs1200_ov80/run_01,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs1200_ov80.yaml,docs_only,1c5afc595e49b677ddf02f319de4374397546fab360a6516f43f7400da3018e9,70,944.853102,0.009524,28,0.564351,0.303043,0.313197
stage0b1_docs_chunking,docs_cs800_ov0,docs_cs800_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs800_ov0/run_03,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs800_ov0.yaml,docs_only,202196d153514bd476a08201ddac9bf909473e7d08a849af68a2b84f176b1126,70,994.475065,0.014286,28,0.496515,0.302537,0.309323
stage0b1_docs_chunking,docs_cs800_ov80,docs_cs800_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs800_ov80/run_01,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs800_ov80.yaml,docs_only,39546c7b086a21e3dc4ed103af85b1ca7dcc6d79f1de700ea2ec8b2d1b61ad6b,70,978.941316,0.023810,28,0.481202,0.298939,0.317283
stage0b1_docs_chunking,docs_cs1200_ov0,docs_cs1200_ov0,1,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs1200_ov0/run_01,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs1200_ov0.yaml,docs_only,357a78386988c8d87914ff805e515154ec6b4fda43a08ecd5552421ab9ef95fa,70,1044.472180,0.023810,28,0.484254,0.294328,0.259255
stage0b1_docs_chunking,docs_cs800_ov0,docs_cs800_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs800_ov0/run_02,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs800_ov0.yaml,docs_only,202196d153514bd476a08201ddac9bf909473e7d08a849af68a2b84f176b1126,70,1106.658948,0.009524,28,0.507685,0.290290,0.330406
stage0b1_docs_chunking,docs_cs400_ov80,docs_cs400_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs400_ov80/run_02,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs400_ov80.yaml,docs_only,c000acbf6c85406c4979f05b35a0fcd9973342f0cba99ff44cdba3700b325084,70,857.074605,0.009524,28,0.548734,0.289275,0.336155
stage0b1_docs_chunking,docs_cs1200_ov80,docs_cs1200_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs1200_ov80/run_02,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs1200_ov80.yaml,docs_only,1c5afc595e49b677ddf02f319de4374397546fab360a6516f43f7400da3018e9,70,1210.508478,0.009524,28,0.543975,0.286765,0.300457
stage0b1_docs_chunking,docs_cs800_ov80,docs_cs800_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs800_ov80/run_03,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs800_ov80.yaml,docs_only,39546c7b086a21e3dc4ed103af85b1ca7dcc6d79f1de700ea2ec8b2d1b61ad6b,70,997.029838,0.019048,28,0.496564,0.286618,0.296975
stage0b1_docs_chunking,docs_cs1200_ov0,docs_cs1200_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b1_docs_chunking/docs_cs1200_ov0/run_03,/app/.polaris_experiment_stage0b1_docs_chunking__docs_cs1200_ov0.yaml,docs_only,357a78386988c8d87914ff805e515154ec6b4fda43a08ecd5552421ab9ef95fa,70,1136.037722,0.019048,28,0.519148,0.285522,0.304060
