stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b2_ticket_chunking,tickets_cs1000_ov80,tickets_cs1000_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov80/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov80.yaml,tickets_only,0068b3b5b46889268c52d40f9cc525bfdd4280f098b05793cfaffa54f15a6f10,70,676.839248,0.047619,28,0.689492,0.338413,0.535752
stage0b2_ticket_chunking,tickets_cs600_ov80,tickets_cs600_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov80/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov80.yaml,tickets_only,04f2e6f6893435acf0d8026eec32c4ac5d7f0b3b85b545d43a3b641b47e1b513,70,635.902894,0.190476,28,0.691817,0.337222,0.577420
stage0b2_ticket_chunking,tickets_cs600_ov0,tickets_cs600_ov0,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov0/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov0.yaml,tickets_only,3ddc67de608b7715fe1419baf2f98d287c27db5266dc2558761f32626d3aab54,70,564.853228,0.271429,28,0.697894,0.332000,0.565105
stage0b2_ticket_chunking,tickets_cs1000_ov0,tickets_cs1000_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov0/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov0.yaml,tickets_only,11a05eb6cf13a59ab200960adbec95b8a46ab33963d017f99832275c9188e3e3,70,678.851753,0.271429,28,0.718757,0.330408,0.540918
stage0b2_ticket_chunking,tickets_cs1000_ov0,tickets_cs1000_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov0/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov0.yaml,tickets_only,11a05eb6cf13a59ab200960adbec95b8a46ab33963d017f99832275c9188e3e3,70,820.664970,0.023810,28,0.676777,0.325000,0.559144
stage0b2_ticket_chunking,tickets_cs1000_ov80,tickets_cs1000_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov80/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov80.yaml,tickets_only,0068b3b5b46889268c52d40f9cc525bfdd4280f098b05793cfaffa54f15a6f10,70,752.357510,0.061905,28,0.656508,0.323651,0.543915
stage0b2_ticket_chunking,tickets_cs600_ov0,tickets_cs600_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov0/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov0.yaml,tickets_only,3ddc67de608b7715fe1419baf2f98d287c27db5266dc2558761f32626d3aab54,70,724.773459,0.090476,28,0.666366,0.322623,0.555364
stage0b2_ticket_chunking,tickets_cs600_ov80,tickets_cs600_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov80/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov80.yaml,tickets_only,04f2e6f6893435acf0d8026eec32c4ac5d7f0b3b85b545d43a3b641b47e1b513,70,715.582875,0.100000,28,0.735510,0.317742,0.548908
stage0b2_ticket_chunking,tickets_cs1000_ov80,tickets_cs1000_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov80/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov80.yaml,tickets_only,0068b3b5b46889268c52d40f9cc525bfdd4280f098b05793cfaffa54f15a6f10,70,750.577342,0.042857,28,0.727109,0.316250,0.504532
stage0b2_ticket_chunking,tickets_cs600_ov80,tickets_cs600_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov80/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov80.yaml,tickets_only,04f2e6f6893435acf0d8026eec32c4ac5d7f0b3b85b545d43a3b641b47e1b513,70,717.029424,0.100000,28,0.697682,0.316066,0.549260
stage0b2_ticket_chunking,tickets_cs800_ov80,tickets_cs800_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov80/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov80.yaml,tickets_only,883437cdf6fe184299937cea5138960b9cbc526fd9d9054e3ae748339c8cf276,70,683.551239,0.038095,28,0.670218,0.315455,0.546529
stage0b2_ticket_chunking,tickets_cs800_ov80,tickets_cs800_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov80/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov80.yaml,tickets_only,883437cdf6fe184299937cea5138960b9cbc526fd9d9054e3ae748339c8cf276,70,802.817271,0.042857,28,0.682199,0.312424,0.499898
stage0b2_ticket_chunking,tickets_cs600_ov0,tickets_cs600_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov0/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov0.yaml,tickets_only,3ddc67de608b7715fe1419baf2f98d287c27db5266dc2558761f32626d3aab54,70,743.546490,0.185714,28,0.666736,0.312143,0.554376
stage0b2_ticket_chunking,tickets_cs800_ov0,tickets_cs800_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov0/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov0.yaml,tickets_only,c781f8a76ba5fdd897ff101db0e578d7bf0723834d4f60db96e7d53409654953,70,817.952946,0.047619,28,0.720112,0.299697,0.562617
stage0b2_ticket_chunking,tickets_cs1000_ov0,tickets_cs1000_ov0,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov0/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov0.yaml,tickets_only,11a05eb6cf13a59ab200960adbec95b8a46ab33963d017f99832275c9188e3e3,70,796.329537,0.033333,28,0.664706,0.298438,0.533063
stage0b2_ticket_chunking,tickets_cs800_ov0,tickets_cs800_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov0/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov0.yaml,tickets_only,c781f8a76ba5fdd897ff101db0e578d7bf0723834d4f60db96e7d53409654953,70,735.319398,0.071429,28,0.676249,0.296154,0.554890
