stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_precision_without_reference,factual_correctness,faithfulness
stage1_shared_budget,naive_combined_topk12_final8,naive_combined_topk12_final8,2,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk12_final8/run_02,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk12_final8.yaml,naive_combined,bc87ca354af6979e66091e2e27b213abf8d6adbaac2c0b17e1b40e6bec615ce9,70,665.738101,0.195238,28,0.786189,0.341607,0.552056
stage1_shared_budget,naive_combined_topk8_final8,naive_combined_topk8_final8,3,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk8_final8/run_03,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk8_final8.yaml,naive_combined,bda73dd8e7fc88e45a3bc5dc009519d5407276adbad7ea895864ad7a31a8e4b6,70,734.732775,0.209524,28,0.800071,0.341481,0.511826
stage1_shared_budget,naive_combined_topk8_final8,naive_combined_topk8_final8,2,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk8_final8/run_02,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk8_final8.yaml,naive_combined,bda73dd8e7fc88e45a3bc5dc009519d5407276adbad7ea895864ad7a31a8e4b6,70,730.328717,0.047619,28,0.771603,0.335156,0.564027
stage1_shared_budget,naive_combined_topk8_final6,naive_combined_topk8_final6,2,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk8_final6/run_02,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk8_final6.yaml,naive_combined,aed37bdf8be8bb7c689c8acfe95baa058cd0768c43074c892c0fb817becf4d5a,70,810.117828,0.023810,28,0.786859,0.311765,0.526235
stage1_shared_budget,naive_combined_topk12_final6,naive_combined_topk12_final6,2,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk12_final6/run_02,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk12_final6.yaml,naive_combined,1caec4673c3f488d55398f269810cb022cf7958351be95a6a0282b371ee0cf38,70,743.304533,0.071429,28,0.841609,0.311250,0.528471
stage1_shared_budget,naive_combined_topk8_final6,naive_combined_topk8_final6,3,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk8_final6/run_03,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk8_final6.yaml,naive_combined,aed37bdf8be8bb7c689c8acfe95baa058cd0768c43074c892c0fb817becf4d5a,70,806.883013,0.019048,28,0.797367,0.310588,0.504980
stage1_shared_budget,naive_combined_topk12_final8,naive_combined_topk12_final8,3,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk12_final8/run_03,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk12_final8.yaml,naive_combined,bc87ca354af6979e66091e2e27b213abf8d6adbaac2c0b17e1b40e6bec615ce9,70,655.104073,0.423810,28,0.798995,0.310000,0.557031
stage1_shared_budget,naive_combined_topk8_final8,naive_combined_topk8_final8,1,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk8_final8/run_01,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk8_final8.yaml,naive_combined,bda73dd8e7fc88e45a3bc5dc009519d5407276adbad7ea895864ad7a31a8e4b6,70,815.899779,0.038095,28,0.791157,0.309091,0.517702
stage1_shared_budget,naive_combined_topk12_final6,naive_combined_topk12_final6,3,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk12_final6/run_03,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk12_final6.yaml,naive_combined,1caec4673c3f488d55398f269810cb022cf7958351be95a6a0282b371ee0cf38,70,710.685309,0.033333,28,0.823255,0.305821,0.561096
stage1_shared_budget,naive_combined_topk8_final6,naive_combined_topk8_final6,1,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk8_final6/run_01,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk8_final6.yaml,naive_combined,aed37bdf8be8bb7c689c8acfe95baa058cd0768c43074c892c0fb817becf4d5a,70,625.240875,0.209524,28,0.795727,0.305455,0.540234
stage1_shared_budget,naive_combined_topk12_final8,naive_combined_topk12_final8,1,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk12_final8/run_01,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk12_final8.yaml,naive_combined,bc87ca354af6979e66091e2e27b213abf8d6adbaac2c0b17e1b40e6bec615ce9,70,884.722196,0.114286,28,0.779490,0.289672,0.539315
stage1_shared_budget,naive_combined_topk12_final6,naive_combined_topk12_final6,1,/app/artifacts/experiments/protocol_final_3runs/stage1_shared_budget/naive_combined_topk12_final6/run_01,/app/.polaris_experiment_stage1_shared_budget__naive_combined_topk12_final6.yaml,naive_combined,1caec4673c3f488d55398f269810cb022cf7958351be95a6a0282b371ee0cf38,70,659.408527,0.038095,28,0.815151,0.286000,0.520683
