condition_name,rank,source,source_authority,count,total,proportion
docs_only,1,docs,local_official,30,30,1.0
docs_only,2,docs,local_official,30,30,1.0
docs_only,3,docs,local_official,30,30,1.0
docs_only,4,docs,local_official,30,30,1.0
docs_only,5,docs,local_official,30,30,1.0
docs_only,6,docs,local_official,30,30,1.0
docs_only,7,docs,local_official,30,30,1.0
docs_only,8,docs,local_official,30,30,1.0
naive_combined,1,unknown,ticket_memory,30,30,1.0
naive_combined,2,docs,local_official,30,30,1.0
naive_combined,3,docs,local_official,2,30,0.06666666666666667
naive_combined,3,unknown,ticket_memory,28,30,0.9333333333333333
naive_combined,4,docs,local_official,28,30,0.9333333333333333
naive_combined,4,unknown,ticket_memory,2,30,0.06666666666666667
naive_combined,5,docs,local_official,4,30,0.13333333333333333
naive_combined,5,unknown,ticket_memory,26,30,0.8666666666666667
naive_combined,6,docs,local_official,28,30,0.9333333333333333
naive_combined,6,unknown,ticket_memory,2,30,0.06666666666666667
naive_combined,7,docs,local_official,5,28,0.17857142857142858
naive_combined,7,unknown,ticket_memory,23,28,0.8214285714285714
naive_combined,8,docs,local_official,23,23,1.0
tickets_only,1,unknown,ticket_memory,30,30,1.0
tickets_only,2,unknown,ticket_memory,30,30,1.0
tickets_only,3,unknown,ticket_memory,30,30,1.0
tickets_only,4,unknown,ticket_memory,30,30,1.0
tickets_only,5,unknown,ticket_memory,29,29,1.0
tickets_only,6,unknown,ticket_memory,27,27,1.0
tickets_only,7,unknown,ticket_memory,23,23,1.0
tickets_only,8,unknown,ticket_memory,16,16,1.0
