condition_name,label_name,label_value,row_count,mean_context_precision_without_reference,mean_context_recall,mean_factual_correctness,mean_faithfulness,mean_reference,mean_response,mean_user_input
docs_only,__all__,all,30,nan,0.5749867724867724,nan,nan,,,
docs_only,source_needed,both,8,0.7404761904574588,0.4464285714285714,nan,0.2558712121212121,,,
docs_only,source_needed,docs,14,0.7361009879984278,0.6541666666666667,0.19642857142857142,0.43159519052376194,,,
docs_only,source_needed,tickets,8,nan,0.5649801587301587,0.15125,nan,,,
docs_only,docs_scope_needed,local_and_external,5,0.7061904761703508,0.5142857142857142,nan,0.40595238095238095,,,
docs_only,docs_scope_needed,local_official,17,0.7469571161638768,0.5975490196078431,0.23823529411764705,0.3564435564435564,,,
docs_only,docs_scope_needed,none,8,nan,0.5649801587301587,0.15125,nan,,,
docs_only,validity_sensitive,no,2,0.8958333333138888,0.7410714285714286,0.185,0.7622377622377623,,,
docs_only,validity_sensitive,yes,28,nan,0.5631235827664399,nan,nan,,,
docs_only,attachment_dependent,no,28,nan,0.5714143990929705,nan,nan,,,
docs_only,attachment_dependent,yes,2,0.9791666666086806,0.625,0.095,0.4,,,
docs_only,query_type,general_how_to,3,0.8896825396647023,0.7321428571428571,0.16666666666666666,0.5557775557775558,,,
docs_only,query_type,local_operational,21,nan,0.5943688586545729,0.22095238095238093,nan,,,
docs_only,query_type,software_version,6,0.7051587301361256,0.42857142857142855,nan,0.3988997113997114,,,
docs_only,version_sensitive,no,24,nan,0.6115906084656085,0.21416666666666664,nan,,,
docs_only,version_sensitive,yes,6,0.7051587301361256,0.42857142857142855,nan,0.3988997113997114,,,
docs_only,system_scope_required,no,3,0.7564814814632098,0.49404761904761907,0.29,0.6986346986346986,,,
docs_only,system_scope_required,yes,27,nan,0.5839800117577896,nan,nan,,,
naive_combined,__all__,all,30,nan,0.6444179894179894,nan,nan,,,
naive_combined,source_needed,both,8,nan,0.6125,nan,0.4102248445998446,,,
naive_combined,source_needed,docs,14,0.7710430838854803,0.6230442176870749,0.27785714285714286,nan,,,
naive_combined,source_needed,tickets,8,0.715595238076941,0.7137400793650793,0.2275,0.38169642857142855,,,
naive_combined,docs_scope_needed,local_and_external,5,0.6068253968076835,0.6457142857142857,nan,0.21439393939393941,,,
naive_combined,docs_scope_needed,local_official,17,nan,0.6114145658263306,0.3305882352941176,nan,,,
naive_combined,docs_scope_needed,none,8,0.715595238076941,0.7137400793650793,0.2275,0.38169642857142855,,,
naive_combined,validity_sensitive,no,2,0.9151785714119419,0.6309523809523809,0.4,0.8,,,
naive_combined,validity_sensitive,yes,28,nan,0.6453798185941043,nan,nan,,,
naive_combined,attachment_dependent,no,28,nan,0.6285856009070294,nan,nan,,,
naive_combined,attachment_dependent,yes,2,0.685595238079544,0.8660714285714286,0.255,0.4375,,,
naive_combined,query_type,general_how_to,3,0.6994047618892113,0.553968253968254,0.31,0.5333333333333333,,,
naive_combined,query_type,local_operational,21,nan,0.6877173091458806,0.3047619047619048,nan,,,
naive_combined,query_type,software_version,6,0.6544973544788731,0.5380952380952381,nan,0.17866161616161616,,,
naive_combined,version_sensitive,no,24,nan,0.6709986772486772,0.30541666666666667,nan,,,
naive_combined,version_sensitive,yes,6,0.6544973544788731,0.5380952380952381,nan,0.17866161616161616,,,
naive_combined,system_scope_required,no,3,0.8058862433686315,0.6873015873015874,0.4066666666666667,0.5333333333333333,,,
naive_combined,system_scope_required,yes,27,nan,0.6396531452087009,nan,nan,,,
tickets_only,__all__,all,30,nan,0.7386904761904761,nan,0.55,,,
tickets_only,source_needed,both,8,nan,0.6451388888888889,0.41250000000000003,0.5020833333333333,,,
tickets_only,source_needed,docs,14,nan,0.779875283446712,0.32642857142857146,0.6015589569160998,,,
tickets_only,source_needed,tickets,8,0.6813591269631254,0.7601686507936508,nan,0.5076884920634921,,,
tickets_only,docs_scope_needed,local_and_external,5,nan,0.4288888888888889,0.392,0.285,,,
tickets_only,docs_scope_needed,local_official,17,nan,0.8197012138188609,0.3476470588235294,0.6478524743230625,,,
tickets_only,docs_scope_needed,none,8,0.6813591269631254,0.7601686507936508,nan,0.5076884920634921,,,
tickets_only,validity_sensitive,no,2,0.8458333333163541,1.0,0.29000000000000004,0.85,,,
tickets_only,validity_sensitive,yes,28,nan,0.7200255102040816,nan,0.5285714285714286,,,
tickets_only,attachment_dependent,no,28,nan,0.7557397959183673,nan,0.5369897959183673,,,
tickets_only,attachment_dependent,yes,2,0.6656746031590807,0.5,0.24,0.7321428571428572,,,
tickets_only,query_type,general_how_to,3,0.6531746031588195,1.0,0.21666666666666667,0.5666666666666667,,,
tickets_only,query_type,local_operational,21,nan,0.7898904006046863,nan,0.6130952380952381,,,
tickets_only,query_type,software_version,6,nan,0.42883597883597885,0.3666666666666667,0.3208333333333333,,,
tickets_only,version_sensitive,no,24,nan,0.8161541005291005,nan,0.6072916666666667,,,
tickets_only,version_sensitive,yes,6,nan,0.42883597883597885,0.3666666666666667,0.3208333333333333,,,
tickets_only,system_scope_required,no,3,0.7959523809364203,0.9444444444444445,0.38000000000000006,0.5666666666666667,,,
tickets_only,system_scope_required,yes,27,nan,0.7158289241622575,nan,0.5481481481481482,,,
