condition_name,rank,source,source_authority,count,total,proportion
freshness_only,1,unknown,ticket_memory,30,30,1.0
freshness_only,2,docs,local_official,30,30,1.0
freshness_only,3,docs,local_official,2,30,0.06666666666666667
freshness_only,3,unknown,ticket_memory,28,30,0.9333333333333333
freshness_only,4,docs,local_official,28,30,0.9333333333333333
freshness_only,4,unknown,ticket_memory,2,30,0.06666666666666667
freshness_only,5,docs,local_official,5,30,0.16666666666666666
freshness_only,5,unknown,ticket_memory,25,30,0.8333333333333334
freshness_only,6,docs,local_official,27,30,0.9
freshness_only,6,unknown,ticket_memory,3,30,0.1
freshness_only,7,docs,local_official,5,28,0.17857142857142858
freshness_only,7,unknown,ticket_memory,23,28,0.8214285714285714
freshness_only,8,docs,local_official,23,23,1.0
naive_combined,1,unknown,ticket_memory,30,30,1.0
naive_combined,2,docs,local_official,30,30,1.0
naive_combined,3,docs,local_official,2,30,0.06666666666666667
naive_combined,3,unknown,ticket_memory,28,30,0.9333333333333333
naive_combined,4,docs,local_official,28,30,0.9333333333333333
naive_combined,4,unknown,ticket_memory,2,30,0.06666666666666667
naive_combined,5,docs,local_official,4,30,0.13333333333333333
naive_combined,5,unknown,ticket_memory,26,30,0.8666666666666667
naive_combined,6,docs,local_official,28,30,0.9333333333333333
naive_combined,6,unknown,ticket_memory,2,30,0.06666666666666667
naive_combined,7,docs,local_official,5,28,0.17857142857142858
naive_combined,7,unknown,ticket_memory,23,28,0.8214285714285714
naive_combined,8,docs,local_official,23,23,1.0
source_aware,1,docs,local_official,30,30,1.0
source_aware,2,unknown,ticket_memory,30,30,1.0
source_aware,3,docs,local_official,30,30,1.0
source_aware,4,docs,local_official,2,30,0.06666666666666667
source_aware,4,unknown,ticket_memory,28,30,0.9333333333333333
source_aware,5,docs,local_official,28,30,0.9333333333333333
source_aware,5,unknown,ticket_memory,2,30,0.06666666666666667
source_aware,6,docs,local_official,4,30,0.13333333333333333
source_aware,6,unknown,ticket_memory,26,30,0.8666666666666667
source_aware,7,docs,local_official,26,28,0.9285714285714286
source_aware,7,unknown,ticket_memory,2,28,0.07142857142857142
source_aware,8,unknown,ticket_memory,23,23,1.0
validity_aware,1,docs,local_official,20,30,0.6666666666666666
validity_aware,1,unknown,ticket_memory,10,30,0.3333333333333333
validity_aware,2,docs,local_official,10,30,0.3333333333333333
validity_aware,2,unknown,ticket_memory,20,30,0.6666666666666666
validity_aware,3,docs,local_official,19,30,0.6333333333333333
validity_aware,3,unknown,ticket_memory,11,30,0.36666666666666664
validity_aware,4,docs,local_official,13,30,0.43333333333333335
validity_aware,4,unknown,ticket_memory,17,30,0.5666666666666667
validity_aware,5,docs,local_official,19,30,0.6333333333333333
validity_aware,5,unknown,ticket_memory,11,30,0.36666666666666664
validity_aware,6,docs,local_official,12,30,0.4
validity_aware,6,unknown,ticket_memory,18,30,0.6
validity_aware,7,docs,local_official,19,28,0.6785714285714286
validity_aware,7,unknown,ticket_memory,9,28,0.32142857142857145
validity_aware,8,docs,local_official,8,23,0.34782608695652173
validity_aware,8,unknown,ticket_memory,15,23,0.6521739130434783
