condition_name,label_name,label_value,row_count,mean_context_precision_without_reference,mean_context_recall,mean_factual_correctness,mean_faithfulness,mean_reference,mean_response,mean_user_input
freshness_only,__all__,all,30,0.73891402114601,0.7146164021164021,nan,nan,,,
freshness_only,source_needed,both,8,0.8177827380751099,0.75,nan,nan,,,
freshness_only,source_needed,docs,14,0.7420124716387274,0.7202947845804989,0.2671428571428572,nan,,,
freshness_only,source_needed,tickets,8,0.6546230158546544,0.6692956349206349,0.285,0.38506944444444446,,,
freshness_only,docs_scope_needed,local_and_external,5,0.6872619047376458,0.6857142857142857,nan,nan,,,
freshness_only,docs_scope_needed,local_official,17,0.7937721755208726,0.7444444444444445,0.29,nan,,,
freshness_only,docs_scope_needed,none,8,0.6546230158546544,0.6692956349206349,0.285,0.38506944444444446,,,
freshness_only,validity_sensitive,no,2,0.9151785714119419,0.8166666666666667,0.43000000000000005,0.85,,,
freshness_only,validity_sensitive,yes,28,0.7263236961270149,0.7073270975056689,nan,nan,,,
freshness_only,attachment_dependent,no,28,0.7430796485079699,0.703798185941043,nan,nan,,,
freshness_only,attachment_dependent,yes,2,0.6805952380785706,0.8660714285714286,0.36,0.44999999999999996,,,
freshness_only,query_type,general_how_to,3,0.7878968253798132,0.6777777777777777,0.3566666666666667,0.5666666666666667,,,
freshness_only,query_type,local_operational,21,0.7540797429916345,0.7607898715041572,0.28523809523809524,nan,,,
freshness_only,query_type,software_version,6,0.6613425925694226,0.5714285714285714,nan,nan,,,
freshness_only,version_sensitive,no,24,0.7583068782901569,0.7504133597883599,0.29416666666666663,nan,,,
freshness_only,version_sensitive,yes,6,0.6613425925694226,0.5714285714285714,nan,nan,,,
freshness_only,system_scope_required,no,3,0.846626984109985,0.8777777777777778,0.4066666666666667,0.6575757575757576,,,
freshness_only,system_scope_required,yes,27,0.7269459141500128,0.6964873603762493,nan,nan,,,
naive_combined,__all__,all,30,nan,0.7066269841269841,nan,nan,,,
naive_combined,source_needed,both,8,nan,0.75,nan,nan,,,
naive_combined,source_needed,docs,14,0.8129875283273521,0.6634920634920636,0.2785714285714286,nan,,,
naive_combined,source_needed,tickets,8,0.6398313491865716,0.7387400793650793,0.25875,0.403968253968254,,,
naive_combined,docs_scope_needed,local_and_external,5,0.6908786847852746,0.6799999999999999,nan,0.4212121212121212,,,
naive_combined,docs_scope_needed,local_official,17,nan,0.6993464052287582,0.3370588235294118,nan,,,
naive_combined,docs_scope_needed,none,8,0.6398313491865716,0.7387400793650793,0.25875,0.403968253968254,,,
naive_combined,validity_sensitive,no,2,0.9151785714119419,0.9166666666666667,0.32,nan,,,
naive_combined,validity_sensitive,yes,28,nan,0.691624149659864,nan,nan,,,
naive_combined,attachment_dependent,no,28,nan,0.6952380952380952,nan,nan,,,
naive_combined,attachment_dependent,yes,2,0.6464285714061606,0.8660714285714286,0.305,0.4888888888888889,,,
naive_combined,query_type,general_how_to,3,0.768849206332829,0.7444444444444445,0.26333333333333336,nan,,,
naive_combined,query_type,local_operational,21,nan,0.7412131519274376,0.32571428571428573,nan,,,
naive_combined,query_type,software_version,6,0.6643565759424467,0.5666666666666667,nan,0.351010101010101,,,
naive_combined,version_sensitive,no,24,nan,0.7416170634920635,0.3179166666666667,nan,,,
naive_combined,version_sensitive,yes,6,0.6643565759424467,0.5666666666666667,nan,0.351010101010101,,,
naive_combined,system_scope_required,no,3,0.8058862433686315,0.9444444444444445,0.2966666666666667,nan,,,
naive_combined,system_scope_required,yes,27,nan,0.6802028218694885,nan,nan,,,
source_aware,__all__,all,30,nan,0.7913369963369963,nan,nan,,,
source_aware,source_needed,both,8,0.7642148525922411,0.8125,nan,0.6572576728826729,,,
source_aware,source_needed,docs,14,nan,0.731436420722135,0.26142857142857145,nan,,,
source_aware,source_needed,tickets,8,nan,0.875,nan,0.5314674908424908,,,
source_aware,docs_scope_needed,local_and_external,5,0.5557142857009285,0.78,nan,0.38989898989898986,,,
source_aware,docs_scope_needed,local_official,17,nan,0.75530058177117,nan,nan,,,
source_aware,docs_scope_needed,none,8,nan,0.875,nan,0.5314674908424908,,,
