condition_name,rank,source,source_authority,count,total,proportion
all_docs_validity_aware,1,docs,local_official,20,30,0.6666666666666666
all_docs_validity_aware,1,unknown,ticket_memory,10,30,0.3333333333333333
all_docs_validity_aware,2,docs,local_official,10,30,0.3333333333333333
all_docs_validity_aware,2,external_docs,external_official,8,30,0.26666666666666666
all_docs_validity_aware,2,unknown,ticket_memory,12,30,0.4
all_docs_validity_aware,3,docs,local_official,1,30,0.03333333333333333
all_docs_validity_aware,3,external_docs,external_official,21,30,0.7
all_docs_validity_aware,3,unknown,ticket_memory,8,30,0.26666666666666666
all_docs_validity_aware,4,docs,local_official,18,30,0.6
all_docs_validity_aware,4,external_docs,external_official,1,30,0.03333333333333333
all_docs_validity_aware,4,unknown,ticket_memory,11,30,0.36666666666666664
all_docs_validity_aware,5,docs,local_official,11,30,0.36666666666666664
all_docs_validity_aware,5,external_docs,external_official,8,30,0.26666666666666666
all_docs_validity_aware,5,unknown,ticket_memory,11,30,0.36666666666666664
all_docs_validity_aware,6,docs,local_official,3,30,0.1
all_docs_validity_aware,6,external_docs,external_official,21,30,0.7
all_docs_validity_aware,6,unknown,ticket_memory,6,30,0.2
all_docs_validity_aware,7,docs,local_official,18,30,0.6
all_docs_validity_aware,7,external_docs,external_official,2,30,0.06666666666666667
all_docs_validity_aware,7,unknown,ticket_memory,10,30,0.3333333333333333
all_docs_validity_aware,8,docs,local_official,9,26,0.34615384615384615
all_docs_validity_aware,8,external_docs,external_official,6,26,0.23076923076923078
all_docs_validity_aware,8,unknown,ticket_memory,11,26,0.4230769230769231
validity_aware,1,docs,local_official,20,30,0.6666666666666666
validity_aware,1,unknown,ticket_memory,10,30,0.3333333333333333
validity_aware,2,docs,local_official,10,30,0.3333333333333333
validity_aware,2,unknown,ticket_memory,20,30,0.6666666666666666
validity_aware,3,docs,local_official,20,30,0.6666666666666666
validity_aware,3,unknown,ticket_memory,10,30,0.3333333333333333
validity_aware,4,docs,local_official,12,30,0.4
validity_aware,4,unknown,ticket_memory,18,30,0.6
validity_aware,5,docs,local_official,19,30,0.6333333333333333
validity_aware,5,unknown,ticket_memory,11,30,0.36666666666666664
validity_aware,6,docs,local_official,12,30,0.4
validity_aware,6,unknown,ticket_memory,18,30,0.6
validity_aware,7,docs,local_official,19,28,0.6785714285714286
validity_aware,7,unknown,ticket_memory,9,28,0.32142857142857145
validity_aware,8,docs,local_official,8,23,0.34782608695652173
validity_aware,8,unknown,ticket_memory,15,23,0.6521739130434783
