stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b2_ticket_chunking,tickets_cs800_ov80,tickets_cs800_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov80/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov80.yaml,tickets_only,883437cdf6fe184299937cea5138960b9cbc526fd9d9054e3ae748339c8cf276,70,1135.323008,0.071429,28,0.725369,0.325781,0.504160
stage0b2_ticket_chunking,tickets_cs800_ov80,tickets_cs800_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov80/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov80.yaml,tickets_only,883437cdf6fe184299937cea5138960b9cbc526fd9d9054e3ae748339c8cf276,70,1110.494219,0.066667,28,0.685067,0.314375,0.502130
stage0b2_ticket_chunking,tickets_cs800_ov0,tickets_cs800_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov0/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov0.yaml,tickets_only,c781f8a76ba5fdd897ff101db0e578d7bf0723834d4f60db96e7d53409654953,70,1221.051305,0.042857,28,0.689955,0.310152,0.489522
stage0b2_ticket_chunking,tickets_cs600_ov80,tickets_cs600_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov80/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov80.yaml,tickets_only,04f2e6f6893435acf0d8026eec32c4ac5d7f0b3b85b545d43a3b641b47e1b513,70,1062.349868,0.052381,28,0.693602,0.310000,0.511722
stage0b2_ticket_chunking,tickets_cs1000_ov0,tickets_cs1000_ov0,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov0/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov0.yaml,tickets_only,11a05eb6cf13a59ab200960adbec95b8a46ab33963d017f99832275c9188e3e3,70,1195.747122,0.042857,28,0.694544,0.309692,0.549543
stage0b2_ticket_chunking,tickets_cs1000_ov0,tickets_cs1000_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov0/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov0.yaml,tickets_only,11a05eb6cf13a59ab200960adbec95b8a46ab33963d017f99832275c9188e3e3,70,975.209036,0.047619,28,0.683218,0.308788,0.545083
stage0b2_ticket_chunking,tickets_cs1000_ov80,tickets_cs1000_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov80/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov80.yaml,tickets_only,0068b3b5b46889268c52d40f9cc525bfdd4280f098b05793cfaffa54f15a6f10,70,1187.565125,0.052381,28,0.678456,0.306462,0.474874
stage0b2_ticket_chunking,tickets_cs600_ov0,tickets_cs600_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov0/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov0.yaml,tickets_only,3ddc67de608b7715fe1419baf2f98d287c27db5266dc2558761f32626d3aab54,70,1399.949802,0.038095,28,0.674803,0.302879,0.522135
stage0b2_ticket_chunking,tickets_cs600_ov0,tickets_cs600_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov0/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov0.yaml,tickets_only,3ddc67de608b7715fe1419baf2f98d287c27db5266dc2558761f32626d3aab54,70,1047.445310,0.042857,28,0.657370,0.301231,0.527226
stage0b2_ticket_chunking,tickets_cs1000_ov80,tickets_cs1000_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov80/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov80.yaml,tickets_only,0068b3b5b46889268c52d40f9cc525bfdd4280f098b05793cfaffa54f15a6f10,70,1186.937240,0.057143,28,0.696470,0.299846,0.492987
stage0b2_ticket_chunking,tickets_cs600_ov80,tickets_cs600_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov80/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov80.yaml,tickets_only,04f2e6f6893435acf0d8026eec32c4ac5d7f0b3b85b545d43a3b641b47e1b513,70,1099.110472,0.052381,28,0.711269,0.299385,0.499862
stage0b2_ticket_chunking,tickets_cs1000_ov0,tickets_cs1000_ov0,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov0/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov0.yaml,tickets_only,11a05eb6cf13a59ab200960adbec95b8a46ab33963d017f99832275c9188e3e3,70,1076.800186,0.047619,28,0.654055,0.298923,0.534778
stage0b2_ticket_chunking,tickets_cs800_ov0,tickets_cs800_ov0,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov0/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov0.yaml,tickets_only,c781f8a76ba5fdd897ff101db0e578d7bf0723834d4f60db96e7d53409654953,70,1137.564546,0.042857,28,0.672135,0.298182,0.489476
stage0b2_ticket_chunking,tickets_cs1000_ov80,tickets_cs1000_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs1000_ov80/run_02,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs1000_ov80.yaml,tickets_only,0068b3b5b46889268c52d40f9cc525bfdd4280f098b05793cfaffa54f15a6f10,70,1037.638626,0.047619,28,0.702185,0.295606,0.504184
stage0b2_ticket_chunking,tickets_cs800_ov80,tickets_cs800_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov80/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov80.yaml,tickets_only,883437cdf6fe184299937cea5138960b9cbc526fd9d9054e3ae748339c8cf276,70,1280.738170,0.066667,28,0.681454,0.289375,0.510129
stage0b2_ticket_chunking,tickets_cs800_ov0,tickets_cs800_ov0,3,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs800_ov0/run_03,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs800_ov0.yaml,tickets_only,c781f8a76ba5fdd897ff101db0e578d7bf0723834d4f60db96e7d53409654953,70,1268.885336,0.042857,28,0.654116,0.287727,0.479684
stage0b2_ticket_chunking,tickets_cs600_ov0,tickets_cs600_ov0,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov0/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov0.yaml,tickets_only,3ddc67de608b7715fe1419baf2f98d287c27db5266dc2558761f32626d3aab54,70,1056.794331,0.042857,28,0.686778,0.287273,0.496778
stage0b2_ticket_chunking,tickets_cs600_ov80,tickets_cs600_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b2_ticket_chunking/tickets_cs600_ov80/run_01,/app/.polaris_experiment_stage0b2_ticket_chunking__tickets_cs600_ov80.yaml,tickets_only,04f2e6f6893435acf0d8026eec32c4ac5d7f0b3b85b545d43a3b641b47e1b513,70,1040.264088,0.052381,28,0.694352,0.278923,0.523279
